track_id,album_id,side,position,track_name,duration,audio_preview_url
1,01,A,1,Come To Daddy (Pappy Mix),04:22,https://aphextwin.bandcamp.com/track/come-to-daddy-pappy-mix
2,01,A,2,Flim,02:57,https://aphextwin.bandcamp.com/track/flim
3,01,A,3,Come to Daddy (Little Lord Faulteroy Mix),03:50,https://aphextwin.bandcamp.com/track/come-to-daddy-little-lord-faulteroy-mix
4,01,A,4,Bucephalus Bouncing Ball,05:44,https://aphextwin.bandcamp.com/track/bucephalus-bouncing-ball
5,01,B,1,To Cure A Weakling Child (Contour Regard),05:10,https://aphextwin.bandcamp.com/track/to-cure-a-weakling-child-contour-regard
6,01,B,2,Funny Little Man,03:58,https://aphextwin.bandcamp.com/track/funny-little-man
7,01,B,3,Come To Daddy (Mummy Mix),04:24,https://aphextwin.bandcamp.com/track/come-to-daddy-mummy-mix
8,01,B,4,IZ-US,02:57,https://aphextwin.bandcamp.com/track/iz-us
9,02,A,1,Xtal,04:54,https://apollorecords.bandcamp.com/track/xtal
10,02,A,2,Tha,09:07,https://apollorecords.bandcamp.com/track/tha
11,02,A,3,Pulsewidth,03:48,https://apollorecords.bandcamp.com/track/pulsewidth
12,02,B,1,Ageispolis,05:23,https://apollorecords.bandcamp.com/track/ageispolis
13,02,B,2,i,01:17,https://apollorecords.bandcamp.com/track/i
14,02,B,3,Green Calx,06:05,https://apollorecords.bandcamp.com/track/green-calx
15,02,B,4,Heliosphan,04:54,https://apollorecords.bandcamp.com/track/heliosphan
16,02,C,1,We are the music makers,07:44,https://apollorecords.bandcamp.com/track/we-are-the-music-makers
17,02,C,2,Schottkey 7th Path,05:09,https://apollorecords.bandcamp.com/track/schottkey-7th-path
18,02,C,3,Ptolemy,07:14,https://apollorecords.bandcamp.com/track/ptolemy
19,02,D,1,Hedphelym,06:04,https://apollorecords.bandcamp.com/track/hedphelym
20,02,D,2,Delphium,05:29,https://apollorecords.bandcamp.com/track/delphium
21,02,D,3,Actium,07:36,https://apollorecords.bandcamp.com/track/actium
22,03,A,1,Jynweythek,02:24,https://aphextwin.bandcamp.com/track/jynweythek
23,03,A,2,Vordhosbn,04:51,https://aphextwin.bandcamp.com/track/vordhosbn
24,03,A,3,Kladfvgbung Micshk,02:07,https://aphextwin.bandcamp.com/track/kladfvgbung-mischk
25,03,A,4,Omgyjya-Switch7,04:52,https://aphextwin.bandcamp.com/track/omgyjya-switch7
26,03,A,5,Strotha Tynhe,02:12,https://aphextwin.bandcamp.com/track/strotha-tynhe
27,03,B,1,Gwely Mernans,05:08,https://aphextwin.bandcamp.com/track/gwely-mernans
28,03,B,2,Bbydhyonchord,02:33,https://aphextwin.bandcamp.com/track/bbydhyonchord
29,03,B,3,Cock/Ver10,05:18,https://aphextwin.bandcamp.com/track/cock-ver10
30,03,B,4,Avril 14th,02:06,https://aphextwin.bandcamp.com/track/avril-14th
31,03,C,1,Mt Saint Michel + Saint Michaels Mount,08:10,https://aphextwin.bandcamp.com/track/mt-saint-michel-saint-michaels-mount
32,03,C,2,Gwarek2,06:47,https://aphextwin.bandcamp.com/track/gwarek2
33,03,C,3,Orban Eq Trx4,01:35,https://aphextwin.bandcamp.com/track/orban-eq-trx-4
34,03,C,4,Aussois,00:13,https://aphextwin.bandcamp.com/track/aussois
35,03,C,5,Hy a Scullyas Lyf a Dhagrow,02:15,https://aphextwin.bandcamp.com/track/hy-a-scullyas-lyf-adhagrow
36,03,D,1,Kesson Dalef,01:21,https://aphextwin.bandcamp.com/track/kesson-dalek
37,03,D,2,54 Cymru Beats,06:07,https://aphextwin.bandcamp.com/track/54-cymru-beats
38,03,D,3,Btoum-Roumada,01:58,https://aphextwin.bandcamp.com/track/btoum-roumada
39,03,D,4,Lornaderek,00:31,https://aphextwin.bandcamp.com/track/lornaderek
40,03,D,5,QKThr,01:27,https://aphextwin.bandcamp.com/track/qkthr
41,03,D,6,Meltphace 6,06:24,https://aphextwin.bandcamp.com/track/meltphace-6
42,03,D,7,Bit 4,00:25,https://aphextwin.bandcamp.com/track/bit-4
43,03,E,1,Prep Gwarlek 3b,01:19,https://aphextwin.bandcamp.com/track/prep-gwarek-36
44,03,E,2,Father,00:57,https://aphextwin.bandcamp.com/track/father
45,03,E,3,Taking Control,07:14,https://aphextwin.bandcamp.com/track/taking-control
46,03,E,4,Petiatil Cx Htdui,02:11,https://aphextwin.bandcamp.com/track/petiatil-cx-htdui
47,03,E,5,Ruglen Holon,01:49,https://aphextwin.bandcamp.com/track/ruglen-holon
48,03,E,6,Afx237 V.7,04:23,https://aphextwin.bandcamp.com/track/afx237-v-7
49,03,F,1,Ziggomatic 17,08:35,https://aphextwin.bandcamp.com/track/ziggomatic-17
50,03,F,2,Beskhu3epnm,02:10,https://aphextwin.bandcamp.com/track/beskhu3epnm
51,03,F,3,Nanou 2,03:25,https://aphextwin.bandcamp.com/track/nanou2
52,04,A,1,Gemini,02:56,https://boardsofcanada.bandcamp.com/track/gemini
53,04,A,2,Reach for the Dead,04:47,https://boardsofcanada.bandcamp.com/track/reach-for-the-dead
54,04,A,3,White Cyclosa,03:13,https://boardsofcanada.bandcamp.com/track/white-cyclosa
55,04,A,4,Jacquard Causeway,06:35,https://boardsofcanada.bandcamp.com/track/jacquard-causeway
56,04,B,1,Telepath,01:32,https://boardsofcanada.bandcamp.com/track/telepath
57,04,B,2,Cold Earth,03:42,https://boardsofcanada.bandcamp.com/track/cold-earth
58,04,B,3,Transmisiones Ferox,02:18,https://boardsofcanada.bandcamp.com/track/transmisiones-ferox
59,04,B,4,Sick Times,04:16,https://boardsofcanada.bandcamp.com/track/sick-times
60,04,B,5,Collapse,02:49,https://boardsofcanada.bandcamp.com/track/collapse
61,04,C,1,Palace Posy,04:05,https://boardsofcanada.bandcamp.com/track/palace-posy
62,04,C,2,Split Your Infinities,04:28,https://boardsofcanada.bandcamp.com/track/split-your-infinities
63,04,C,3,Uritual,01:59,https://boardsofcanada.bandcamp.com/track/uritual
64,04,C,4,Nothing Is Real,03:52,https://boardsofcanada.bandcamp.com/track/nothing-is-real
65,04,D,1,Sundown,02:16,https://boardsofcanada.bandcamp.com/track/sundown
66,04,D,2,New Seeds,05:39,https://boardsofcanada.bandcamp.com/track/new-seeds
67,04,D,3,Come to Dust,04:07,https://boardsofcanada.bandcamp.com/track/come-to-dust
68,04,D,4,Semena Mertvykh,03:30,https://boardsofcanada.bandcamp.com/track/semena-mertvykh
69,05,A,1,Wildlife Analysis,01:17,https://boardsofcanada.bandcamp.com/track/wildlife-analysis
